,Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
1522,1554,3,2,1,0,1,"&#8220;@SimplyHype: @kobebryant shut the fuck up, you fucking trash nigga, work on another ring&#8221; http://t.co/6RleNKR7EE"
1542,1576,3,2,1,0,1,"&#8220;@TP_Three: @WestSideFlee @KekePalmer damn they got wifey &#128561;&#128561;&#128534;&#128534;&#128555;&#128553;&#128553;&#128553;&#8221;

Fall back nigga &#128299;.. I don't share my hoes"
1633,1668,3,2,1,0,1,&#8220;@_BitchBUH: Shoot that nigga and his shorty bitch &#128299;&#128514;&#8221; &#8252;&#65039;&#8252;&#65039;
1680,1715,3,2,1,0,1,&#8220;@_honeysays: My phone charging backwards &#128533;&#8221; retarded
1694,1729,3,2,1,0,1,&#8220;@alicia_688: You aint special niglet RT @Vice504fly: When I'm chilling wit Greg ppl walk up to me to ask me to take pics&#8221;hatin
1708,1743,3,2,1,0,1,&#8220;@boojieque: &#128514;&#128169;RT @WebbMadeThis: Lemme find out you niggaz letting bitches shit on yo faces&#8221; &#128557; niggas is weirdos
1747,1782,3,2,1,0,1,"&#8220;@dnumberbefore2: &#8220;@Vice504fly: @dnumberbefore2 u a regular nig, u played out b&#8221; lol ima b Ig famous&#8221;these days that counts for somethin"
1789,1826,3,3,0,0,1,"&#8220;@iamkrause: No need to thank me, killing niggers is it's own reward.&#8221; 

Dis my pal from our graduation when we was 26"
1814,1851,3,2,1,0,1,&#8220;@kaylendenise_: I hate that bitch &amp; the fact that oomf likes her.. just no &#128528;&#8221; retweeettt 1000x.
1825,1863,3,2,1,0,1,&#8220;@kitty_hello14: @Im_Yung_Jay &#127850;&#127850;&#127850;&#127850;&#127850; bitch ass nigga fuck you ! &#128079;&#128079;&#128079;&#128079;&#128079;&#128077;&#128077;&#128077;&#128077;&#128077;&#8221; &lt;= these hoes ain't got no manners #RealTalk
1853,1891,3,2,1,0,1,&#8220;@medaOriginBitch: That one friend who you greet with an insult.&#8221; @MorbidMermaid @EvanBecker513 niggers
1885,1923,3,3,0,0,1,"&#8220;@rocafella123 ""@waymoflydenu: If fleek in yo vocabulary you a faggot""&#8221;"
1909,1948,3,2,1,0,1,&#8220;@spannerhead29: @VertrellCarter #faggot&#8221; #Respect
1925,1964,3,2,1,0,1,"&#8220;@thejanicexxx: o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lmao&#8221; you can dm me"
1937,1977,3,2,1,0,1,&#8220;@ttevy_8: i want affection 24/7 but i also want to be left alone 24/7... do you see the issue here?&#8221;fag
1949,1989,3,3,0,0,1,&#8220;@waymoflydenu Why yall think its ok to be faggots?&#8221; and want us to be cool with them
2006,2046,3,2,1,0,1,&amp;when they say him they mean dyke Ron #wcw http://t.co/VV4DUMMe4A
2027,2068,3,2,1,0,1,' Don't sleep on ma niggah CHood &#128076; @CharleyHood &#128175;&#128175;
2036,2077,3,2,1,0,1,' Happppppy Birthdayyyy &#1041191;&#1041196;&#1043215; lol . Niggahs is really 21 in this bitch &#1043358;&#1041219; . http://t.co/YatU7pbsHX
2065,2106,3,2,1,0,1,"' If this ugly ass niggah can be with her , I can too . Tf she with Chuu Baka for anyways this niggah look like a... http://t.co/lVNDRDPpQT"
2112,2155,3,2,1,0,1,' This niggah pharrell or whatever this niggah name is don't deserve shit for that white ass gay song .
2128,2172,3,2,1,0,1,"'Damn you, whitey!' You'll get a kick out of the 'newest form of white privilege' http://t.co/zLpFZsITOm"
2149,2194,3,2,1,0,1,"*goes to olive garden*
*Turns into a cracker*
""@gIacier: *goes black friday shopping*

*turns into a nigger*"""
2163,2208,3,2,1,0,1,",@KiroGx me gusta ""typing like a retard to make the other person look dumber by pretending to agree with them"" bazinga"
2165,2210,3,2,1,0,1,------&gt;RT @Maxin_Betha @HumbltonBanks ankle socks in general are for the faggots bro
2174,2219,3,3,0,0,1,...aaaaaaaaand it begins. RT @RileydaKafka: Fucking niggers that's all Kentucky is and ever will be
2178,2223,3,3,0,0,1,"...you're white, aren't you? *rolls eyes* RT @DidntDoNuffin: @DreaaaLove RIP to my NIGGA Trayvon, a worthless spear chucker"
2229,2274,3,2,1,0,1,2 beer queer
2231,2276,3,2,1,0,1,2 hoes 1 dyke
2254,2299,3,3,0,0,1,"4 old hoes, a ponk, and a dyke outchea having ""girl talk"""
2262,2307,3,2,1,0,1,5000 white men in pick up trucks screaming nigger and my coach got the nerve to get mad I missed the free throw &#128514;&#128514;&#128514;
2275,2320,3,3,0,0,1,"8/16/14 MO @GovJayNixon let &#8220;kill some crackers, kill their babies"" New Black Panthers hijack his #Ferguson presser http://t.co/z2Wko9Ripz"
2297,2342,3,2,1,0,1,@05proFESSOR I bet he's a Starbucks queer
2324,2370,3,3,0,0,1,@2014samanthaKay good enough fag
2348,2396,3,2,1,0,1,@AGreasyMonkey @Huntermoore faggot
2407,2457,3,2,1,0,1,@AlfieHeydrich but I live in the South. Lot more here. My pop lives in Rhode Island. Hardly no niggers there.
2408,2458,3,2,1,0,1,"@Alicia112794 So basically you like the background music, fag."
2431,2482,3,3,0,0,1,@AmericanWhiteHM I hate that nigger.
2432,2483,3,3,0,0,1,"@AmericanWhiteHM Those niggers disgust me. They should have dealt with 100 years ago, we wouldn't be having these problems now."
2438,2489,3,2,1,0,1,@AnUglyNigga this is retarded
2440,2491,3,2,1,0,1,@AndreBerto can't wait for more PEDS is that it? Roid munching faggot
2444,2495,3,3,0,0,1,@AndrewJBurns1 @Tommy_Russell_ homo ass crackers
2453,2504,3,2,1,0,1,@AnimeKing420 fight me 1 on 1 ur choice of game faggot see what happens
2456,2507,3,3,0,0,1,@Anony386 @TurnToLive @Tweenki_ they are wrong you are a nigger always causung mischief among ur own people
2459,2510,3,3,0,0,1,"@AnthonyCumia 
You be totally correct Anthony. Can&#8217;t be livin round dem colored folk. Day be bringin down da hood and dem propery value"
2465,2516,3,3,0,0,1,"@AntonioFrench The ""You&#8217;re going 2have 2 KILL crackers &amp; their babies&#8221; New Black Panthers #CredibilityShot #FergusonRiot #Justice4MikeBrown"
2472,2523,3,2,1,0,1,@Arbogucci guys not supposed to get their ass sucked queer
2486,2539,3,2,0,1,1,"@Aryanliving Welcome to the movement. Anyone who gets even minor publicity is a queer, fed, or jew (well, according to the internet)."
2493,2546,3,2,1,0,1,@AtBlackface @MrMooncricket @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ape? Fuck u broke ass racist
2499,2552,3,2,1,0,1,@AustinG1135 I do not like talking to you faggot and I did but in a nicely way fag
2500,2553,3,2,1,0,1,"@AustinG1135 answer my snapchat faggot 
#butthurt"
2516,2570,3,2,1,0,1,@AyeFuckWoody @coryburgess87 do i literally eat asshole for a living? is that what i actually do faggot? You seem a little confused..
2521,2575,3,2,1,0,1,"@BGALLY17 so ur faggot teammate @BrandonPrust8 hits someone late like that and U say he's yapping and yelling, u guys def 69 in the room"
2547,2604,3,2,1,0,1,@BarackObama @MarchForInnov send them damn beaners back where they belong n the US aint it
2555,2612,3,2,1,0,1,@Barbod6FCB @_cblaze @ODDBEAST cracker jack shut the fuck up
2585,2642,3,2,1,0,1,@BeyondTomcat you'd like that wouldn't you fag
2587,2644,3,2,1,0,1,@Bidenshairplugs He looks like a fag and his time line is boring Zzzzzz
2602,2661,3,3,0,0,1,@BillionaireCrow @Neelahrelates your what's wrong with the white race you fuckin coon slaying piece of poop please die alone
2625,2687,3,2,1,0,1,@Blackman38Tide lmfao go to bed whitey &#128129;
2635,2697,3,2,1,0,1,@BloggerBoxing @rianscalia pass the Fosters faggot
2636,2698,3,2,1,0,1,@BloggerBoxing yea....what did it do for Maidana? It made him a greedy faggot loser. Atleast Broner is black...
2656,2719,3,2,1,0,1,@BossAce555 @Sounds_good_bro @BloggerBoxing yea u stupid faggot. I'm not leaving till like 5-6pm. Want a ride?
2657,2720,3,2,0,1,1,@BossMelle never followed him ignorant monkey
2668,2731,3,3,0,0,1,@BraxCity29 @maria_obregon_g @sophia_freeman1 3/4 of a citizen. I said it for you maria you spic
2670,2733,3,2,1,0,1,@BreeOlson @Gingerbeard66 your a nasty nigger whore
2679,2742,3,3,0,0,1,@Brenddan_ they said some bullshit. Damn niggers
2680,2743,3,2,1,0,1,@Brenddan_ wow!!! Are you comin back up here? &#128514;&#128514;&#128514;&#128514; they some bitch niggas
2684,2747,3,2,1,0,1,@Briana_Rashae I'd like to rape the bitch that posted that.
2687,2751,3,2,1,0,1,"@Brice2254 Fuck you, faggot."
2691,2755,3,2,1,0,1,@Brizgotti These new nigga hipster hypebeasts love all these faggot ass bright colors and Nike keeps giving them what they want smh
2702,2766,3,3,0,0,1,@Buckm00se @letsargueboxing sand nigger ran over some Kidd
2703,2767,3,3,0,0,1,@Buckm00se I don't like the sand nigger but it's entertaining like 6 knockdowns
2704,2768,3,2,1,0,1,@Buckm00se Joe Cortez is the ultimate faggot that fight proved it
2706,2770,3,2,1,0,1,@Buckm00se all us beaners were pissed like robert when the jew ref stopped it
2708,2772,3,2,1,0,1,@Buckm00se true sand niggers &amp; bum Brits claim he's a ATG hall of fame legend smh
2720,2785,3,2,0,1,1,@CBSThisMorning @charlierose racist @NorahODonnell tx trash racist why wld u intvw @MittRomney n ask racist questions itwas so disrespectful
2724,2790,3,3,0,0,1,"@CHARLESBARRKLEY hey Sir house nigger, uncle tom aren't you from grand ole Mississippi, I rest my case!"
2759,2827,3,3,0,0,1,@Campos_uli is a fag #hesgay
2780,2848,3,2,1,0,1,@CarelessOne92 you styl gotta get dem tweets off my nig
2816,2885,3,3,0,0,1,@ChaleCarlo5 fuck outta here and go put some more trash ass ink on your faggot ass self pussy
2817,2886,3,3,0,0,1,@ChaleCarlo5 stay talking defending your fuckboy ass boyfriend or what? go suck him off while youre at it faggot
2819,2888,3,2,1,0,1,@ChandailBailey @SteeZeyFLOW @HunturPls you need to accept the fact that you're both hipster faggots.
2822,2891,3,2,1,0,1,"@CharleeRedz13 your gay stfu, dumb monkey"
2830,2899,3,2,1,0,1,@ChaseBasford chase you God damn faggot &#128514;&#128557;&#128514;&#128557;
2832,2901,3,2,0,1,1,@CheCha__ be gone my nigguh
2834,2903,3,3,0,0,1,"@Cheesus85 @greyyygoose faaaaggggottttt, speaking with the blonde hair and confused, you're a hypocrite, cuz you're a faggot"
2842,2912,3,2,1,0,1,@Chink_19 shut up chink.!!!
2852,2922,3,2,1,0,1,"@Chris_Anzueto @Josh_Mackey15 you call someone a faggot and then say to kill themselves, you are a pathetic human being. A fucking disgrace."
2853,2923,3,3,0,0,1,@Christian_ESEM you don't know what your talking about retarded faggot
2868,2938,3,2,0,1,1,"@Cody_smith64 true! I miss yall man, yall are my brothers. Is mikey starting? And what about the chink? Lmfao"
2902,2973,3,2,1,0,1,@CrackerJhak Because you're a fag
2912,2983,3,2,1,0,1,@CsSalazar15 wetback &#128513;&#128514;&#128514;&#128514;&#128514;&#128557;
2946,3018,3,3,0,0,1,"@DaRealAlexInLA @Woody_AFC @Rodriguez5_ the nig is fun to watch got to admit, ebola boy can speak broken Spanish too lol"
2958,3030,3,2,1,0,1,@DangItsTiff you look like fucking shrek bitch
2962,3034,3,2,1,0,1,@DanielSizelove @Conrad_MLG get on cunt
2968,3040,3,2,1,0,1,@DarienDaywalt bitch shut the fuck up goddam your a slut bitch whore nigga
2969,3041,3,2,1,0,1,@Darienbaby_xoxo jk I'd fuck a dog before I fuck you fish pussy
2976,3048,3,2,1,0,1,@DatBoyRayT because if you support lesbians you have to support faggots there's no difference.
2985,3057,3,2,1,0,1,@DavetheBrave1 that hoe on some other shit bro rt and 100x better rn that a nigga high
3002,3077,3,2,1,0,1,@DeezNutsDoe I'd hate feeling like a faggot too punk ass hoe
3003,3078,3,2,1,0,1,@DeezNutsDoe how about you wash my butthole out with your tongue you little faggot
3006,3081,3,3,0,0,1,"@DefendWallSt Whatever! Fuck all those assholes. They're niggers, they all look alike to me."
3007,3082,3,2,1,0,1,"@DefendWallSt those little #ISIS faggots usually have bags over their heads anyway. 
Makes bullet placement interesting thru a scope."
3012,3088,3,2,1,0,1,@Derek_Kirchner7 @tori_mills02 fags&#128567;&#128567;
3014,3090,3,2,1,0,1,"@DestroTheNoble @nekolin purple &amp; pink....for the faggots who want to be protected...by the police, instead of BEARING ARMS if need be!"
3018,3094,3,2,1,0,1,@DevilFzyq @DevilElyie @TehDevilClan shut up fag
3044,3121,3,2,0,1,1,@DjChubbESwagg this like a retarded wu-tang clan
3048,3125,3,2,1,0,1,@DolanGang beans u beaner?
3049,3126,3,2,1,0,1,@DolanGang you wouldn't know fag
3054,3131,3,2,1,0,1,"@DonnerKay @surlyrevenant An enraged 6'4"" 290 lb Mike Brown lethal weapon on legs.His hatred 4 the police &amp; whitey added fuel 2 his arsenal"
3073,3151,3,2,1,0,1,@Drfreezeburnn @DaithiDeNogla I just learned how many retards you can find when you search trending topics.
3074,3152,3,2,1,0,1,@Drfreezeburnn That's not bias. It's an objective fact that Philly fans are cunts.
3113,3191,3,3,0,0,1,@EleyCome_EleyGo @caykelly16 movies don't matter as long as you do coon shit with coons you're a nigga!
3125,3204,3,2,1,0,1,"@EnglishBrit123 sounds like a good idea. But I want my word to be spread. Jews, niggers and commies alike."
3134,3214,3,2,1,0,1,@ErinTaylor14 @BRios82 you both sure do You want to give a free pass to every border jumper in this country you two are what's wrong here
3136,3216,3,2,1,0,1,@EvanBecker513 @_TriggaPlease_ @MorbidMermaid @zooyorkinit @_ShayisdaBOMB_ @Rainbowblake because she's a nigger
3139,3219,3,2,1,0,1,@EvanDMyers @nineinchessoft you have a redneck attitude. The same people that think Benghazzi is real think Fox fake nws is real. Your one
3161,3242,3,2,1,0,1,@Fardousaa becuz no man should celebrate his bday at a drreams #faggot
3173,3255,3,2,1,0,1,@Fit4LifeMike @chanelisabeth hoe don't make me put up screenshots of your texts to me hoe
3184,3266,6,4,1,1,1,@Flow935 jus wanted to let y&#225;ll know hope the hurricane kills your soca sunday trash #LORDWILLIN
3190,3272,3,2,1,0,1,@FrankieJGrande ew queer white thirsty bitch
3191,3273,3,3,0,0,1,@FrankieJGrande fugly queer white trash
3192,3274,3,2,1,0,1,@FrankieJGrande omg gtfo white faggot
3198,3280,3,3,0,0,1,@FreddyAmazin ratchet looking nigger
3199,3281,3,3,0,0,1,@FreeAJay you understand you look like a real life dyke right? Like you look like a WNBA dyke bro. A sports bra &amp; bball shorts wearing dyke
3203,3286,3,2,1,0,1,"@Fromtheshwa yes now get off twitter, you lame negros should have never learned how to use the Internet"
3205,3288,3,2,1,0,1,@FuckBoiRik hahahaha youza fuck wigger
3210,3294,3,2,1,0,1,"@Fugazi3011 ""leave you beaner retard"""
3241,3325,3,2,1,0,1,@Garner_412 heyyyyyyyyyyy fag boy am I gonna watch you play?
3242,3326,3,2,1,0,1,"@GeneTNBARockBox Says the old man :( I hope you can survive another 10 years, you silly Jigga boo monkey"
3271,3357,3,2,1,0,1,@GlitteredInPink hoe don't tweet me
3275,3361,3,2,1,0,1,"@GoDaddy Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots."
3278,3364,3,2,1,0,1,"@God_loves_biebs Go pray in a church or something fag, no one cares about your religious bullshit."
3280,3366,3,2,0,1,1,"@Godsmack_Music @iTunesMusic @iTunes That band is white trash, and only white trash would buy that album."
3292,3378,3,3,0,0,1,@GossipCop Julie tell them crybaby blacks to get someone blk. and dress them up white faced......niggers always whining!
3310,3396,3,2,1,0,1,@GrizzboAdams @wyattnuckels haha ight nig calm yoself
3315,3401,3,2,1,0,1,@GrizzboAdams fucking block your white ass because you try to start shit like a fucking queer so fuck you NIGGA
3316,3402,3,2,1,0,1,@GrizzboAdams ight nigga haha fucking queer has to clear his schedule
3318,3404,3,2,1,0,1,@GrizzboAdams roid rage much faggot?
3325,3411,3,2,1,0,1,@Gutierrez_Alf legit retard
3348,3434,3,2,1,0,1,"@HarveyLevinTMZ @sly309 they want what I got, I want what they got, America.they got the word nigger, I want it to"
3356,3442,3,3,0,0,1,@HeauxmerSimpson I'm jus tryna vaca away from the niggers bro.
3363,3449,3,2,1,0,1,"@HeilSidious Sion is a faggot. Very meh ganks pre-6 and post-6 his ganks are still pretty meh he's just a tank, nothing special imo Mao +"
3369,3456,3,2,1,0,1,@Herfarm @SteveWorks4You @TheDemocrats your low info redneck dumbasses vote for these corporate shills that idiots like you believe #dummies
3370,3457,3,2,1,0,1,@Herfarm Move out of our country teabaggers!
3382,3469,3,2,1,0,1,@HollowDaDonLOM those god damn chinks. http://t.co/Bi6fgP5vGo
3398,3486,3,2,1,0,1,@Hovaa_ #niggerfood #niggerperson #you #are #a #nigger
3400,3488,6,4,2,0,1,@Hovaa_ ok wat ever u say whitey. u prolly never even seen shaft.
3401,3489,3,3,0,0,1,@Hovaa_ shut up lizard faggot nigger cunt
3404,3492,6,6,0,0,1,@Hovaa_ ya I know all the slang I'm racist I h8 porch monkies
3407,3496,3,3,0,0,1,@HuffingtonPost if the faggots can have a page y cant they?faggots offend me more than them
3408,3497,3,2,1,0,1,"@HuffingtonPost im American, don't give 2 shits about the beaners, ship them beaners back"
3411,3500,3,2,1,0,1,@HuffingtonPost y don't that bitch just shoot herself? so sick of all those whores!
3417,3506,3,2,1,0,1,@Hunglikerobby_ that was so gay. And I was tanning bitch. Juvie made me white
3428,3517,3,3,0,0,1,@Huntermoore happy cuz I woke up white and not a nigger!
3431,3520,3,2,1,0,1,@Huntermoore nigger!!
3448,3538,3,3,0,0,1,@IDisDummies Can you speak one coherent sentence without sounding like a nig? Seriously.
3449,3539,3,2,1,0,1,@IGGYAZALEA it was a joke you fugly bitch be happy uncle snoop even acknowledged your nasty ass lmao
3464,3555,3,2,1,0,1,"@IWantHis_Heart Ok u fat precious lookin ass bitch, u big fat back at the barnyard lookin ass bitch. I can fix my grammar but u still fat"
3470,3562,3,2,1,0,1,@IamShady_ that's not even a real word! Must have hit a blunt and started making up shit with your nigger ass lol
3478,3570,3,2,1,0,1,@Iemonaids done that spell check we know you meant fat liberal Dyke feminist Nazi bitches
3496,3589,3,3,0,0,1,@ImToBlame you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.
3501,3594,3,2,1,0,1,@Im_Thirst randies are fags
3503,3597,3,2,1,0,1,@ImpactParasite just fuckin roasted this faggot
3508,3602,3,2,1,0,1,@InTheOvenJews @SlaveCatcher88 @marylene58 we should hang out ovenjew. Have a lot in common. People waste time on nigs. Jews r r problem.
3511,3605,3,2,1,0,1,@InfidelAlie that should read suck on my bacon encrusted middle finger Muslim twats
3525,3619,3,2,1,0,1,@ItsKeeshKapeesh *yourself *faggot buy a dictionary
3532,3626,3,2,1,0,1,"@ItsMander @kfc
You can always gets da colored folk back in da cage wit da KFC"
